Relatório - Supervisão do Tanque de Nível


Tensão(Nível):0 | Tempo: 0.1

Tensão(Nível):0 | Tempo: 0.2

Tensão(Nível):0 | Tempo: 0.3

Tensão(Nível):0 | Tempo: 0.4

Tensão(Nível):0 | Tempo: 0.5

Tensão(Nível):0 | Tempo: 0.6

Tensão(Nível):0 | Tempo: 0.7

Tensão(Nível):0 | Tempo: 0.8

Tensão(Nível):0 | Tempo: 0.9

Tensão(Nível):0 | Tempo: 1.0

Tensão(Nível):0 | Tempo: 1.1

Tensão(Nível):0 | Tempo: 1.2

Tensão(Nível):0 | Tempo: 1.3

Tensão(Nível):0 | Tempo: 1.4

Tensão(Nível):0 | Tempo: 1.5

Tensão(Nível):0 | Tempo: 1.6

Tensão(Nível):0 | Tempo: 1.7

Tensão(Nível):0 | Tempo: 1.8

Tensão(Nível):0 | Tempo: 1.9

Tensão(Nível):0 | Tempo: 2.0

Tensão(Nível):0 | Tempo: 2.1

Tensão(Nível):0 | Tempo: 2.2

Tensão(Nível):0 | Tempo: 2.3

Tensão(Nível):0 | Tempo: 2.4

Tensão(Nível):0 | Tempo: 2.5

Tensão(Nível):0 | Tempo: 2.6

Tensão(Nível):0 | Tempo: 2.7

Tensão(Nível):0 | Tempo: 2.8

Tensão(Nível):0 | Tempo: 2.9

Tensão(Nível):0 | Tempo: 3.0

Tensão(Nível):0 | Tempo: 3.1

Tensão(Nível):0 | Tempo: 3.2

Tensão(Nível):0 | Tempo: 3.3

Tensão(Nível):0 | Tempo: 3.4

Tensão(Nível):0 | Tempo: 3.5

Tensão(Nível):0 | Tempo: 3.6

Tensão(Nível):0 | Tempo: 3.7

Tensão(Nível):0 | Tempo: 3.8

Tensão(Nível):0 | Tempo: 3.9

Tensão(Nível):0 | Tempo: 4.0

Tensão(Nível):0 | Tempo: 4.1

Tensão(Nível):0 | Tempo: 4.2

Tensão(Nível):0 | Tempo: 4.3

Tensão(Nível):0 | Tempo: 4.4

Tensão(Nível):0 | Tempo: 4.5

Tensão(Nível):0 | Tempo: 4.6

Tensão(Nível):0 | Tempo: 4.7

Tensão(Nível):0 | Tempo: 4.8

Tensão(Nível):0 | Tempo: 4.9

Tensão(Nível):0 | Tempo: 5.0

Tensão(Nível):0 | Tempo: 5.1

Tensão(Nível):0 | Tempo: 5.2

Tensão(Nível):0 | Tempo: 5.3

Tensão(Nível):0 | Tempo: 5.4

Tensão(Nível):0 | Tempo: 5.5

Tensão(Nível):0 | Tempo: 5.6

Tensão(Nível):0 | Tempo: 5.7

Tensão(Nível):3 | Tempo: 5.8

Tensão(Nível):58 | Tempo: 5.9

Tensão(Nível):110 | Tempo: 6.0

Tensão(Nível):171 | Tempo: 6.1

Tensão(Nível):226 | Tempo: 6.2

Tensão(Nível):279 | Tempo: 6.3

Tensão(Nível):332 | Tempo: 6.4

Tensão(Nível):389 | Tempo: 6.5

Tensão(Nível):444 | Tempo: 6.6

Tensão(Nível):490 | Tempo: 6.7

Tensão(Nível):499 | Tempo: 6.8

Tensão(Nível):499 | Tempo: 6.9

Tensão(Nível):499 | Tempo: 7.0

Tensão(Nível):499 | Tempo: 7.1

Tensão(Nível):500 | Tempo: 7.2

Tensão(Nível):500 | Tempo: 7.3

Tensão(Nível):499 | Tempo: 7.4

Tensão(Nível):498 | Tempo: 7.5

Tensão(Nível):498 | Tempo: 7.6

Tensão(Nível):499 | Tempo: 7.7

Tensão(Nível):498 | Tempo: 7.8

Tensão(Nível):498 | Tempo: 7.9

Tensão(Nível):498 | Tempo: 8.0

Tensão(Nível):498 | Tempo: 8.1

